geno,acc_no,subtaxa,name,class.info,org,date,source,collect.date,Lat,Long,site
B093,HRIGRU 4716,italica,CAVOLO BROCCOLO TARDIVO,calabrese,Italy,1983,NA,NA,41.225743,16.296137,ANDRIA.
B094,HRIGRU 4744,italica,CAVOLO BROCCOLO DI SARNO,calabrese,Italy,1983,NA,NA,40.851712,14.268134,NAPLES.
B095,HRIGRU 4702,italica,VERDE CALABRESE PRECOCE,calabrese,Italy,1983,NA,NA,41.893082,12.493395,ROME.
B096,HRIGRU 5282,italica,RAMOSO GRANDE PRECOCE,calabrese,Italy,1984,NA,11/18/1983,41.224705,16.296067,PUGLIA ANDRIA. CIRCONVALLAZIONE SS98 EST N223
B097,HRIGRU 5365,italica,RAMOSO CALABRESE,calabrese,Italy,1984,NA,11/1/1983,,,NA
B098,HRIGRU 5384,italica,CAVOLO BROCCOLO NATALINA,calabrese,Italy,1984,NA,11/1/1983,38.112073,13.339183,SICILY. PALERMO MONASTERO DI CAPPUCCINI
B099,HRIGRU 5386,italica,CAVOLO BROCCOLO FREVAROTA,calabrese,Italy,1984,NA,11/1/1983,38.112073,13.339183,SICILY. PALERMO MONASTERO DI CAPPUCCINI
B100,HRIGRU 5387,italica,CAVOLO BROCCOLO MARZULLO,calabrese,Italy,1984,NA,11/1/1983,38.112073,13.339183,SICILY. PALERMO MONASTERO DI CAPPUCCINI
B101,HRIGRU 5402,italica,CAVOLO BROCCOLO INVERNALE TYPE A,calabrese,Italy,1984,NA,11/1/1983,38.193064,15.555961,SICILY. MESSINA
B102,HRIGRU 3207,italica,RAMOSO CALABRESE,calabrese,Italy,1982,NA,NA,44.801312,10.326298,PARMA.
B103,HRIGRU 7517,italica,BROCCOLO VERDE DI CALABRIA PRECOCISSIMO,broccoli,Italy,1988,NA,NA,40.641205,14.884383,SALERNO. INSTITUTO SPERIMENTALE PER L'ORTICOLTURA
B104,HRIGRU 5362,italica,CAVOLO ZOLFINO,broccoli,Italy,1984,NA,11/1/1983,,,NA
B105,HRIGRU 7518,italica,PRECOCE DI CALABRIA TIPO ESPORTAZIONE,broccoli,Italy,1988,NA,NA,40.641205,14.884383,SALERNO. PER L'ORTICOLTURA
B106,HRIGRU 2398,italica,PICOLINI DI PALERMO,broccoli,Italy,1982,"23 (Backyard, kitchen or home garden (urban, peri-urban or rural))",7/7/1981,38.112073,13.339183,PALERMO SICILY. PRIVATE GARDEN CITY CENTRE
B107,HRIGRU 3208,italica,RAMOSO CALABRIA MEZZO PRECOCE,calabrese,Italy,1982,NA,NA,45.406985,11.87486,PADOVA.
B108,HRIGRU 4703,italica,VERDE CALABRESE,calabrese,Italy,1983,NA,NA,,,NA
B109,HRIGRU 4704,italica,RAMOSO CALABRESE VERDE,calabrese,Italy,1983,NA,NA,41.118908,16.871177,BARI.
B110,HRIGRU 4706,italica,VERDE CALABRESE,calabrese,Italy,1983,NA,NA,41.118908,16.871177,BARI.
B111,HRIGRU 4729,italica,NATALINO DI NAPOLI,calabrese,Italy,1983,NA,NA,41.118908,16.871177,BARI.
B112,HRIGRU 5382,italica,CAVOLO BROCCOLO SETTEMBRINA,calabrese,Italy,1984,NA,11/1/1983,38.112073,13.339183,SICILY. PALERMO MONASTERO DI CAPPUCCINI
B113,HRIGRU 5385,italica,BROCCOLO INNOROTA/GENNOROTA,calabrese,Italy,1984,NA,11/1/1983,38.112073,13.339183,SICILY. PALERMO MONASTERO DI CAPPUCCINI
B114,HRIGRU 5388,italica,CAVOLO BROCCOLO,calabrese,Italy,1984,"40 (Institute, Experimental station, Research organization, Genebank)",11/1/1983,38.159076,13.334875,SICILY. PALERMO INSTITUTO AGRARIO CASTELNUOVO
B115,HRIGRU 10771,italica,(BROCCOLO) RAMOSO DI CALABRIA,calabrese,Italy,1991,NA,NA,,,NA
B116,HRIGRU 11780,italica,BROCCOLO,broccoli,Italy,1993,NA,4/22/1993,38.633022,16.247033,CALABRIA. VAZZANO
B117,HRIGRU 11784,italica,NATALISA CIURIETTI,broccoli,Italy,1993,NA,4/23/1993,36.858819,14.76123,SICILY. MODICA
B118,HRIGRU 2400,italica,BROCCOLO D'ESTATE,broccoli,Italy,1982,26 (Farm store),7/15/1981,37.507171,15.083838,SICILY. CATANIA TOWN CENTRE
B119,HRIGRU 2401,italica,BROCCOLO NATALINO,broccoli,Italy,1982,20 (Farm or cultivated habitat),7/15/1981,37.507171,15.083838,SICILY. TOWN CENTRE CATANIA NURSERY
B120,HRIGRU 2405,italica,BROCCOLO APRILOTO,broccoli,Italy,1982,26 (Farm store),7/15/1981,37.507171,15.083838,SICILY. CATANIA NURSERY
B121,HRIGRU 11783,italica,MAIALORA,broccoli,Italy,1993,NA,4/23/1993,36.858819,14.76123,SICILY. MODICA
B122,HRIGRU 4700,italica,RAMOSO CALABRESE,calabrese,Italy,1983,NA,NA,41.225743,16.296137,ANDRIA.
B123,HRIGRU 4701,italica,RAMOSO CALABRESE,calabrese,Italy,1983,NA,NA,40.847401,14.26608,NAPLES. SAS PIAZZA MERCATO
B124,HRIGRU 4705,italica,RAMOSO CALABRESE PRECOCE,calabrese,Italy,1983,NA,NA,42.461199,14.214576,PESCARA.
B125,HRIGRU 4707,italica,RAMOSO ATLANTIC (LOCAL),calabrese,Italy,1983,NA,NA,42.000164,14.995094,TERMOLI.
B126,HRIGRU 4708,italica,RAMOSO CALABRESE,calabrese,Italy,1983,NA,NA,43.615819,13.518984,ANCONA.
B127,HRIGRU 4710,italica,RAMOSO CALABRESE PRECOCE,calabrese,Italy,1983,NA,NA,40.851712,14.268134,NAPLES.
B128,HRIGRU 4721,italica,BROCCOLO NATALINO DI SARNO,calabrese,Italy,1983,NA,NA,40.851712,14.268134,NAPLES.
B129,HRIGRU 3228,italica,RAMOSO CALABRIA TARDIVO,broccoli,Italy,1982,NA,NA,45.406985,11.87486,PADOVA.
B130,HRIGRU 5381,italica,CAVOLO BROCCOLO AGOSTINA,broccoli,Italy,1984,NA,11/1/1983,38.112073,13.339183,SICILY. PALERMO MONASTERO DI CAPPUCCINI
B131,HRIGRU 7516,italica,BROCCOLO VERDE DI CALABRIA TARDIVO,late broccoli,Italy,1988,NA,NA,40.641205,14.884383,SALERNO. INSTITUTO SPERIMENTALE PER L'ORTICOLTURA
B132,HRIGRU 7519,italica,PRECOCE DI CALABRIA,broccoli,Italy,1988,NA,NA,40.641205,14.884383,SALERNO. INSTITUTO SPERIMENTALE PER L'ORTICOLTURA
B133,HRIGRU 4709,italica,RAMOSO CALABRESE,calabrese,Italy,1983,NA,NA,39.298253,16.253295,COSENZA.
B134,HRIGRU 5442,italica,CAVOLO SPARACELLO,broccoli,Italy,1984,30 (Market or shop),11/1/1983,37.308788,13.585572,SICILY. AGRIGENTO MARKET
B135,HRIGRU 11797,italica,N'TAGLIU/N'TAGGHIV/PILOTU,broccoli/calabrese,Italy,1993,NA,4/24/1993,37.662734,14.832475,SICILY. ADRANO
B136,HRIGRU 4711,italica,RAMOSO CALABRESE VERDE,calabrese,Italy,1983,NA,NA,41.685438,15.379764,SAN SEVERO.
B137,HRIGRU 5281,italica,RAMOSO CALABRESE PRECOCE,calabrese,Italy,1984,NA,11/21/1983,41.225743,16.296137,PUGLIA ANDRIA. SIG CARBONARA GIUSEPPE VIA OBERDAN 21D MONOPOLI
B138,HRIGRU 11781,italica,BROCCOLO NO 1,broccoli,Italy,1993,NA,4/22/1993,39.111808,16.540667,CALABRIA.
B139,HRIGRU 8577,italica,DI SICILIA CATANESE,broccoli,Italy,1989,NA,NA,45.463611,9.18746,MILAN.
B140,HRIGRU 11747,italica,BROCCOLO TARDIVO DI MARZO,broccoli,Italy,1993,30 (Market or shop),NA,40.370693,16.813251,PUGLIA/BASILICATA. LOCAL FARMERS IN METAPONTO MARKET
