geno,class,cross.type,short.name,gbs,c,N109,good.geno,good.pheno,good.photo,gps,seed2020
B001,italica,F1,B001.Marathon,B001_HKT721_A1_Marathon_F1,",",y,y,y,y,n,
B003,italica,F1,B003.Diplomat,B003_HKT721_A2_Diplomat_F1,",",y,y,y,y,n,
B004,italica,F1,B004.DuraPak19,B004_HKT721_A3_DuraPak19_F1,",",y,y,y,y,n,
B005,italica,IBL,B005.USVL48,B005_HKT721_A4_USVL_048_IBL,",",n,y,n,y,n,
B006,italica,IBL,B006.USVL131,B006_HKT721_A5_USVL_131_IBL,",",n,y,n,y,n,
B011,italica,F1,B011.Gypsy,B011_HKT721_A6_Gypsy_F1,",",y,y,n,y,n,
B013,italica,F1,B013.Lieutenant,B013_HKT721_A7_Lieutenant_F1,",",y,y,n,y,n,
B014,italica,F1,B014.Green.Magic,B014_HKT721_A8_Green_Magic_F1,",",y,y,y,y,n,
B015,italica,F1,B015.Brogan,B015_HKT723_F1_Brogan_F1,",",y,y,y,y,n,
B016,unk,F1,B016.Green.Harmony,B016_HKT723_E6_Green_Harmony_F1,",",y,y,y,y,n,
B017,italica,F1,B017.Major,B017_HKT721_A9_Major_F1,",",y,y,y,y,n,
B021,italica,F1,B021.Liberty,B021_HKT721_A10_Liberty_F1,",",y,y,s,y,n,
B047,italica,F1,B047.Packman,B047_HKT721_A11_Packman_F1,",",y,y,y,y,n,
B093,italica,LR,B093.Cavolo.Broccolo.Tardivo,B093_HKT721_B1_Cavolo_Broccolo_Tardivo_OP,",",y,y,y,y,y,
B094,italica,LR,B094.Cavolo.Broccolo.Di.Sarno,B094_HKT721_B2_Cavolo_Broccolo_Di_Sarno_OP,",",y,y,s,y,y,
B095,italica,LR,B095.Verde.Calabrese.Precoce,B095_HKT721_B3_Verde_Calabrese_Precoce_OP,",",y,y,y,y,y,
B096,italica,LR,B096.Ramoso.Grande.Precoce,B096_HKT721_B4_Ramoso_Grande_Precoce_OP,",",y,y,y,y,y,
B097,italica,LR,B097.Ramoso.Calabrese,B097_HKT721_B5_Ramoso_Calabrese_OP,",",y,y,y,y,n,
B098,unk,LR,B098.Cavolo.Broccolo.Natalina,B098_HKT721_B6_Cavolo_Broccolo_Natalina_OP,",",y,y,s,y,y,
B099,unk,LR,B099.Cavolo.Broccolo.Frevarota,B099_HKT721_B7_Cavolo_Broccolo_Frevarota_OP,",",y,y,n,n,y,
B100,unk,LR,B100.Cavolo.Broccolo.Marzullo,B100_HKT721_B8_Cavolo_Broccolo_Marzullo_OP,",",y,y,n,n,y,
B101,italica,LR,B101.Cavolo.Broccolo.Invernale.Type.A,B101_HKT721_B9_Cavolo_Broccolo_Invernale_Type_A_OP,",",y,y,s,y,y,
B102,italica,LR,B102.Ramoso.Calabrese,B102_HKT721_B10_Ramoso_Calabrese_OP,",",y,y,y,y,y,
B103,italica,LR,B103.Broccolo.Verde.Di.Calabria.Precocissimo,B103_HKT721_B11_Broccolo_Verde_Di_Calabria_Precocissimo_OP,",",y,y,y,y,y,
B104,italica,LR,B104.Cavolo.Zolfino,B104_HKT721_B12_Cavolo_Zolfino_OP,",",y,y,n,n,y,
B105,italica,LR,B105.Precoce.Di.Calabria.Tipo.Esportazione,B105_HKT721_C1_Precoce_Di_Calabria_Tipo_Esportazione_OP,",",y,y,y,y,n,
B106,unk,LR,B106.Picolini.Di.Palermo,B106_HKT721_C2_Picolini_Di_Palermo_OP,",",y,y,n,y,y,
B107,unk,LR,B107.Ramoso.Calabria.Mezzo.Precoce,B107_HKT721_C3_Ramoso_Calabria_Mezzo_Precoce_OP,",",y,y,n,n,y,
B108,italica,LR,B108.Verde.Calabrese,B108_HKT721_C4_Verde_Calabrese_OP,",",y,y,y,y,n,
B109,italica,LR,B109.Ramoso.Calabrese.Verde,B109_HKT721_C5_Ramoso_Calabrese_Verde_OP,",",y,y,y,y,y,
B110,italica,LR,B110.Verde.Calabrese,B110_HKT721_C6_Verde_Calabrese_OP,",",y,y,y,y,y,
B111,italica,LR,B111.Natalino.Di.Napoli,B111_HKT721_C7_Natalino_Di_Napoli_OP,",",y,y,s,y,y,
B112,unk,LR,B112.Cavolo.Broccolo.Settembrina,B112_HKT721_C8_Cavolo_Broccolo_Settembrina_OP,",",y,y,y,y,y,
B113,unk,LR,B113.Broccolo.Innorota.Gennorota,B113_HKT721_C9_Broccolo_Innorota_gennorota_OP,",",y,y,n,n,y,
B114,unk,LR,B114.Cavolo.Broccolo,B114_HKT721_C10_Cavolo_Broccolo_OP,",",y,y,n,n,y,
B115,italica,LR,B115.Broccolo.Ramoso.Di.Calabria,B115_HKT721_C11_Broccolo_Ramoso_Di_Calabria_OP,",",y,y,y,y,n,
B116,unk,LR,B116.Broccolo,B116_HKT721_C12_Broccolo_OP,",",y,y,n,n,y,
B117,unk,LR,B117.Natalisa.Ciurietti,B117_HKT721_D1_Natalisa_Ciurietti_OP,",",y,y,s,y,y,
B118,italica,LR,B118.Broccolo.Destate,B118_HKT721_D2_Broccolo_D_estate_OP,",",y,y,y,y,y,
B119,italica,LR,B119.Broccolo.Natalino,B119_HKT721_D3_Broccolo_Natalino_OP,",",y,y,s,y,y,
B120,italica,LR,B120.Broccolo.Apriloto,B120_HKT721_D4_Broccolo_Apriloto_OP,",",y,y,y,y,y,
B121,unk,LR,B121.Maialora,B121_HKT721_D5_Maialora_OP,",",y,y,y,y,y,
B122,italica,LR,B122.Ramoso.Calabrese,B122_HKT721_D6_Ramoso_Calabrese_OP,",",y,y,y,y,y,
B123,italica,LR,B123.Ramoso.Calabrese,B123_HKT721_D7_Ramoso_Calabrese_OP,",",y,y,y,y,y,
B124,italica,LR,B124.Ramoso.Calabrese.Precoce,B124_HKT721_D8_Ramoso_Calabrese_Precoce_OP,",",y,y,y,y,y,
B125,italica,LR,B125.Ramoso.Atlantic.Local,B125_HKT721_D9_Ramoso_Atlantic_Local_OP,",",y,y,y,y,y,
B126,italica,LR,B126.Ramoso.Calabrese,B126_HKT721_D10_Ramoso_Calabrese_OP,",",y,y,y,y,y,
B127,italica,LR,B127.Ramoso.Calabrese.Precoce,B127_HKT721_D11_Ramoso_Calabrese_Precoce_OP,",",y,y,s,y,y,
B128,italica,LR,B128.Broccolo.Natalino.Di.Sarno,B128_HKT721_D12_Broccolo_Natalino_Di_Sarno_OP,",",y,y,s,y,y,
B129,unk,LR,B129.Ramoso.Calabria.Tardivo,B129_HKT721_E1_Ramoso_Calabria_Tardivo_OP,",",y,y,n,n,y,
B130,unk,LR,B130.Cavolo.Broccolo.Agostina,B130_HKT721_E2_Cavolo_Broccolo_Agostina_OP,",",y,y,y,y,y,
B131,italica,LR,B131.Broccolo.Verde.Di.Calabria.Tardivo,B131_HKT721_E3_Broccolo_Verde_Di_Calabria_Tardivo_OP,",",y,y,n,n,y,
B132,italica,LR,B132.Precoce.Di.Calabria,B132_HKT721_E4_Precoce_Di_Calabria_OP,",",y,y,y,y,y,
B133,italica,LR,B133.Ramoso.Calabrese,B133_HKT721_E5_Ramoso_Calabrese_OP,",",y,y,y,y,y,
B134,italica,LR,B134.Cavolo.Sparacello,B134_HKT721_E6_Cavolo_Sparacello_OP,",",y,y,n,y,y,
B135,italica,LR,B135.N.tagliu.N.tagghiv.Pilotu,B135_HKT721_E7_N_tagliu_N_tagghiv_Pilotu_OP,",",y,y,y,y,y,
B136,italica,LR,B136.Ramoso.Calabrese.Verde,B136_HKT721_E8_Ramoso_Calabrese_Verde_OP,",",y,y,y,y,y,
B137,italica,LR,B137.Ramoso.Calabrese.Precoce,B137_HKT721_E9_Ramoso_Calabrese_Precoce_OP,",",y,y,y,y,y,
B138,unk,LR,B138.Broccolo.No.1,B138_HKT721_E10_Broccolo_No_1_OP,",",y,y,n,n,y,
B139,unk,LR,B139.Di.Sicilia.Catanese,B139_HKT721_E11_Di_Sicilia_Catanese_OP,",",y,y,n,n,y,
B140,unk,LR,B140.Broccolo.Tardivo.Di.Marzo,B140_HKT721_E12_Broccolo_Tardivo_Di_Marzo_OP,",",n,n,n,n,y,
B141,italica,F1,B141.BH028,B141_HKT721_F1_BH028_F1,",",y,y,y,y,n,
B142,italica,F1,B142.BH034,B142_HKT721_F2_BH034_F1,",",y,y,y,y,n,
B143,italica,F1,B143.BH027,B143_HKT721_F3_BH027_F1,",",y,y,y,y,n,
B144,italica,F1,B144.BC1691,B144_HKT721_F4_BC1691_F1,",",y,y,y,y,n,
B145,italica,F1,B145.BC1764,B145_HKT721_G6_BC1764_F1,",",y,y,y,y,n,
B146,italica,F1,B146.Montvert,B146_HKT721_F6_Montvert_F1,",",y,y,y,y,n,
B147,italica,F1,B147.DuraPak16,B147_HKT721_F7_DuraPak_16_F1,",",y,y,y,y,n,
B148,italica,F1,B148.Burney,B148_HKT721_F8_Burney_F1,",",y,y,y,y,n,
B150,italica,F1,B150.Eastern.Crown,B150_HKT721_F10_Eastern_Crown_F1,",",y,y,y,y,n,
B151,italica,F1,B151.Imperial,B151_HKT721_F11_Imperial_F1,",",y,y,y,y,n,
B152,italica,F1,B152.Emerald.Crown,B152_HKT721_F12_Emerald_Crown_F1,",",y,y,y,y,n,
B153,italica,F1,B153.Everest,B153_HKT721_G1_Everest_F1,",",y,y,y,y,n,
B154,italica,F1,B154.BH019,B154_HKT721_G2_BH019_F1,",",y,y,y,y,n,
B155,italica,F1,B155.BH020,B155_HKT721_G3_BH020_F1,",",y,y,y,y,n,
B156,italica,F1,B156.BH026,B156_HKT721_G4_BH026_F1,",",y,y,y,y,n,
B159,italica,F1,B159.BH044,B159_HKT721_G7_BH044_F1,",",y,y,y,y,n,
B161,italica,IBL,B161.USVL112,B161_HKT721_G9_USVL112_IBL,",",n,y,s,n,n,
B163,italica,IBL,B163.P1A,B163_HKT721_G11_P1A_IBL,",",n,y,s,n,n,
B164,italica,IBL,B164.P8,B164_HKT721_G12_P8_IBL,",",n,y,s,n,n,
B165,italica,IBL,B165.P9,B165_HKT721_H1_P9_IBL,",",n,y,s,n,n,
B166,italica,IBL,B166.P13,B166_HKT721_H2_P13_IBL,",",n,y,s,n,n,
B167,italica,IBL,B167.P19,B167_HKT721_H3_P19_IBL,",",n,y,s,n,n,
B168,italica,IBL,B168.S446,B168_HKT721_H4_S446_IBL,",",n,y,s,n,n,
B169,italica,IBL,B169.S454,B169_HKT721_H5_S454_IBL,",",n,y,s,n,n,
B170,italica,IBL,B170.S462,B170_HKT721_H6_S462_IBL,",",n,y,s,n,n,
B171,italica,IBL,B171.S475,B171_HKT721_H7_S475_IBL,",",n,y,s,n,n,
B172,italica,IBL,B172.USVLHopkins,B172_HKT721_H8_USVL_Hopkins_IBL,",",n,y,s,n,n,
B173,italica,IBL,B173.USVL89,B173_HKT721_H9_USVL_089_IBL,",",n,y,n,n,n,
B174,italica,IBL,B174.USVL12,B174_HKT721_H10_USVL_012_IBL,",",n,y,s,n,n,
B175,italica,IBL,B175.USVL12,B175_HKT721_H11_USVL_012_IBL,",",n,y,s,n,n,
B176,italica,IBL,B176.USVL43,B176_HKT721_H12_USVL_043_IBL,",",n,y,s,n,n,
B181,italica,F1,B181.Green.Numen,B181_HKT723_A5_Green_Numen_F1,",",y,y,y,y,n,
B182,italica,F1,B182.Green.Elegance,B182_HKT723_A6_Green_Elegance_F1,",",y,y,y,y,n,
B183,botrytis,F1,B183.White.Coral,B183_HKT723_A7_White_Coral_F1,",",n,y,y,y,n,
B187,unk,F1,B187.Clara,B187_HKT723_A11_Clara_F1,",",y,y,y,y,n,
B189,italica,F1,B189.EMBR934,B189_HKT723_B1_EMBR934_UNK,",",y,y,y,y,n,
B190,italica,F1,B190.EMBR958,B190_HKT723_B2_EMBR958_UNK,",",y,y,y,y,n,
B191,italica,LR,B191.Waltham29,B191_HKT723_B3_Waltham_29_OP,",",y,y,y,y,n,
B192,italica,F1,B192.Premium.Crop,B192_HKT723_B4_Premium_Crop_F1,",",y,y,y,y,n,
B193,italica,F1,B193.TBR130,B193_HKT723_B5_TBR_130_UNK,",",y,y,y,y,n,
B194,italica,F1,B194.Corato,B194_HKT723_B6_Corato_F1,",",y,y,y,y,n,
B195,italica,F1,B195.Belstar,B195_HKT723_B7_Belstar_F1,",",y,y,y,y,n,
B196,italica,F1,B196.Power.Dome,B196_HKT723_B8_Power_Dome_F1,",",y,y,y,y,n,
B198,italica,F1,B198.Fiesta,B198_HKT723_B10_Fiesta_F1,",",y,y,y,y,n,
B200,italica,F1,B200.Blue.Wind,B200_HKT723_B12_Blue_Wind_F1,",",y,y,y,y,n,
B203,italica,LR,B203.Calabrese,B203_HKT723_C3_Calabrese_OP,",",y,y,y,y,n,
B204,italica,LR,B204.Cavolo.Broccoli.Ramoso.Calabrese,B204_HKT723_C4_Cavolo_Broccoli_Ramoso_Calabrese_OP,",",y,y,y,y,n,
B205,italica,LR,B205.Cavolo.Broccoli.Ramoso.Calabrese,B205_HKT723_C5_Cavolo_Broccoli_Ramoso_Calabrese_OP,",",y,y,y,y,n,
B206,italica,F1,B206.Covina,B206_HKT723_C6_Covina_F1,",",y,y,y,y,n,
B210,italica,LR,B210.Cavolfiore.Romanesco.Precoce,B210_HKT723_C10_Cavolfiore_Romanesco_Precoce_OP,",",y,y,n,n,n,
B211,italica,LR,B211.Gianfranco.Fuscello.Spiagariello.Lisco,B211_HKT723_C11_Gianfranco_Fuscello_Spiagariello_Lisco_OP,",",y,y,s,y,n,
B212,italica,LR,B212.Cavolo.Broccolo.Spigariello,B212_HKT723_C12_Cavolo_Broccolo_Spigariello_OP,",",y,y,s,y,n,
B213,italica,F1,B213.Atlantis,B213_HKT723_D1_Atlantis_F1,",",y,y,y,y,n,
B214,italica,F1,B214.Athlete,B214_HKT723_D2_Athlete_F1,",",y,y,y,y,n,
B215,italica,F1,B215.Monflor,B215_HKT723_D3_Monflor_F1,",",y,y,y,y,n,
B216,unk,F1,B216.Burgundy,B216_HKT723_D4_Burgundy_F1,",",y,y,y,y,n,
B217,italica,F1,B217.Millenium,B217_HKT723_E7_Millenium_F1,",",y,y,y,y,n,
B218,italica,F1,B218.Ironman,B218_HKT721_A12_Ironman_F1,",",y,y,y,y,n,
B219,italica,F1,B219.Emerald.Jewel,B219_HKT721_G5_Emerald_Jewel_F1,",",y,y,y,y,n,
B221,italica,F1,B221.Heritage,B221_HKT721_G8_Heritage_F1,",",y,y,y,y,n,
B222,italica,F1,B222.Baccus,B222_HKT723_B9_Baccus_F1,",",y,y,y,y,n,
B223,italica,F1,B223.Sabre,B223_HKT723_C7_Sabre_F1,",",y,y,y,y,n,
B224,italica,F1,B224.Saga,B224_HKT723_C2_Saga_F1,",",y,y,y,y,n,
B225,italica,F1,B225.Coronado.Crown,B225_HKT723_D6_Coronado_Crown_F1,",",y,y,y,y,n,
B226,italica,F1,B226.General,B226_HKT723_E4_General_F1,",",y,y,y,y,n,
B227,italica,F1,B227.Asteroid,B227_HKT723_E5_Asteroid_F1,",",y,y,y,y,n,
B229,botrytis,IBL,B229.CA25.Nedcha.DJ7032.DH,B229_HKT723_F2_CA25_Nedcha_DJ7032_DH,",",n,y,n,n,n,
B232,gemmifera,F1,B232.Jade.Cross.Brussels.Sprouts,B232_HKT723_A2_Jade_Cross_Brussels_Sprouts_F1,",",n,y,n,n,n,
B233,capitata,LR,B233.Golden.Acre.Cabbage,B233_HKT723_C8_Golden_Acre_OP_cabbage,",",n,y,n,n,n,
B234,acelpha,LR,B234.Dwarf.Curled.Kale,B234_HKT723_C9_Dwarf_Curled_OP_Kale,",",n,y,n,n,n,
B235,gemmifera,LR,B235.Bedfordshire.Group,B235_HKT721_F5_Bedfordshire_Group_UNK,",",n,y,n,n,n,
B257,italica,IBL,B257.Early.Big.DH,B257_HKT723_D5_Early_Big_DH,",",n,y,y,y,n,
B261,italica,LR,B261.DeCicco,B261_HKT723_C1_De_Cicco_OP,",",y,y,y,y,n,
